[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-editor.319a739ef1260a2b2da1.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-editor.bbef3f7412481cbce555.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-stretch-content.4648b25d00c1f94cec4e.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-stretch-content.60ca9e1e97c52ac3bf8c.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu.bc1b8483f0d497cb1b50.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu.ff65163e28a043660c7b.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/menu-title-keyboard-handler.255f6b16a2f292e5c260.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/menu-title-keyboard-handler.80c53fcbf2fdb487c91d.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/nav-menu.ad2c1632628f619ad9e9.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/nav-menu.d43af66e5000fd109c04.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/nested-carousel-editor.2fdc278ce6bc9f6ec2e0.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/nested-carousel-editor.6337dab68af203be7c04.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/nested-carousel.9145d6891784d5818672.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/nested-carousel.da220b2d6ef36e95bbad.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/93.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/93.min.js.LICENSE.txt
